,order_number,order_date,customer_names,channel,product_name,order_quantity,unit_price,revenue,total unit cost,state,county,state_name,region,lat,long,budget,total_cost,profit,profit_margin_pct,order_month_name,order_month_num,order_month
1915,SO - 0008150,14-02-2014,MEIJER Corp,Distributor,Product 13,10,2619.7,26197,1938.578,LA,Jefferson Parish,Louisiana,South,29.98409,-90.15285,,19385.78,6811.22,26,February,2,2014-02
1916,SO - 0008577,14-02-2014,Blogspan Ltd,Wholesale,Product 15,7,891.1,6237.7,427.728,CO,Douglas County,Colorado,West,39.37221,-104.85609,,2994.096,3243.604,52,February,2,2014-02
1917,SO - 0001633,14-02-2014,Alembic Ltd,Wholesale,Product 21,12,6344.9,76138.8,4251.083,NY,Erie County,New York,Northeast,43.01164,-78.75715,,51012.996,25125.804,33,February,2,2014-02
1918,SO - 0006163,14-02-2014,Skajo Ltd,Wholesale,Product 5,10,1058.6,10586,529.3,NC,Gaston County,North Carolina,South,35.26208,-81.1873,,5293,5293,50,February,2,2014-02
1919,SO - 0006827,14-02-2014,Pfizer Corp,Wholesale,Product 26,8,2860.9,22887.2,1773.758,WI,Outagamie County/Calumet County/Winnebago County,Wisconsin,Midwest,44.27795,-88.38826,,14190.064,8697.136,38,February,2,2014-02
1920,SO - 0007050,14-02-2014,Skiptube Ltd,Wholesale,Product 25,9,254.6,2291.4,152.76,ID,Ada County,Idaho,West,43.61211,-116.39151,,1374.84,916.56,40,February,2,2014-02
1921,SO - 0010620,14-02-2014,Flipbug Ltd,Distributor,Product 27,5,2445.5,12227.5,1760.76,AZ,Maricopa County,Arizona,West,33.4356,-112.3496,,8803.8,3423.7,28,February,2,2014-02
1922,SO - 0010606,14-02-2014,American Corp,Wholesale,Product 23,5,1762.1,8810.5,1444.922,OR,Lane County,Oregon,West,44.05207,-123.08675,,7224.61,1585.89,18,February,2,2014-02
1923,SO - 0010434,14-02-2014,EMD Group,Wholesale,Product 9,12,2539.3,30471.6,1244.257,NY,Westchester County,New York,Northeast,41.03399,-73.76291,,14931.084,15540.516,51,February,2,2014-02
1924,SO - 000999,14-02-2014,Voolith Ltd,Export,Product 5,9,1876,16884,900.48,LA,Lafayette Parish,Louisiana,South,30.22409,-92.01984,,8104.32,8779.68,52,February,2,2014-02
1925,SO - 0001571,14-02-2014,Wordtune Company,Wholesale,Product 22,6,1896.1,11376.6,891.167,CT,Hartford County,Connecticut,Northeast,41.76593,-72.68158,,5347.002,6029.598,53,February,2,2014-02
1926,SO - 0002222,14-02-2014,Wordpedia Ltd,Wholesale,Product 14,12,1842.5,22110,902.825,DC,District of Columbia,District of Columbia,South,38.9041,-77.01723,,10833.9,11276.1,51,February,2,2014-02
1927,SO - 0004046,14-02-2014,US Ltd,Wholesale,Product 25,7,261.3,1829.1,193.362,CA,Los Angeles County,California,West,33.99307,-117.96868,,1353.534,475.566,26,February,2,2014-02
1928,SO - 0004057,14-02-2014,BB17 Company,Wholesale,Product 25,8,4013.3,32106.4,1886.251,NC,Edgecombe County/Nash County,North Carolina,South,35.96851,-77.80829,,15090.008,17016.392,53,February,2,2014-02
1929,SO - 0005601,14-02-2014,Topco Company,Wholesale,Product 2,10,1695.1,16951,1406.933,OK,Oklahoma County,Oklahoma,South,35.65283,-97.4781,,14069.33,2881.67,17,February,2,2014-02
1930,SO - 0005748,14-02-2014,Walgreen Corp,Wholesale,Product 13,7,194.3,1360.1,149.611,CA,San Bernardino County,California,West,34.01223,-117.68894,,1047.277,312.823,23,February,2,2014-02
1931,SO - 0006758,14-02-2014,Deseret Group,Wholesale,Product 15,9,1869.3,16823.7,1046.808,NY,Monroe County,New York,Northeast,43.2134,-77.57972,,9421.272,7402.428,44,February,2,2014-02
1932,SO - 0010765,14-02-2014,Livepath Corp,Distributor,Product 1,8,1018.4,8147.2,661.96,VA,Lynchburg city,Virginia,South,37.41375,-79.14225,,5295.68,2851.52,35,February,2,2014-02
1933,SO - 0009439,14-02-2014,Topiczoom Corp,Wholesale,Product 15,8,2934.6,23476.8,1643.376,IL,Lake County,Illinois,Midwest,42.19779,-87.94553,,13147.008,10329.792,44,February,2,2014-02
1934,SO - 000480,14-02-2014,Liberty Group,Wholesale,Product 17,12,2432.1,29185.2,1264.692,OH,Lorain County,Ohio,Midwest,41.45282,-82.18237,,15176.304,14008.896,48,February,2,2014-02
1935,SO - 0002685,14-02-2014,Holston Company,Distributor,Product 3,9,2539.3,22853.7,1523.58,NC,Cabarrus County,North Carolina,South,35.40875,-80.57951,,13712.22,9141.48,40,February,2,2014-02
1936,SO - 0004081,14-02-2014,Aveda Group,Export,Product 25,9,3624.7,32622.3,3080.995,CA,Orange County,California,West,33.74557,-117.86783,,27728.955,4893.345,15,February,2,2014-02
1937,SO - 0004851,14-02-2014,Yombu Corp,Wholesale,Product 3,6,1179.2,7075.2,978.736,CA,Sonoma County,California,West,38.23242,-122.63665,,5872.416,1202.784,17,February,2,2014-02
1938,SO - 0006451,14-02-2014,Skinder Group,Wholesale,Product 11,11,6076.9,66845.9,4618.444,OK,Cleveland County,Oklahoma,South,35.33951,-97.4867,,50802.884,16043.016,24,February,2,2014-02
1939,SO - 0006556,14-02-2014,BB17 Company,Export,Product 13,11,871,9581,418.08,MN,Dakota County,Minnesota,Midwest,44.64969,-93.24272,,4598.88,4982.12,52,February,2,2014-02
1940,SO - 0008250,14-02-2014,SAFEWAY Ltd,Distributor,Product 20,11,2639.8,29037.8,1689.472,IN,Johnson County,Indiana,Midwest,39.58265,-86.095,,18584.192,10453.608,36,February,2,2014-02
1941,SO - 0008190,14-02-2014,Kaymbo Company,Distributor,Product 25,6,3892.7,23356.2,2802.744,NY,Schenectady County,New York,Northeast,42.81424,-73.93957,,16816.464,6539.736,28,February,2,2014-02
1942,SO - 0010616,14-02-2014,Devpoint Group,Wholesale,Product 20,7,3068.6,21480.2,2454.88,IL,DuPage County,Illinois,Midwest,41.86614,-88.10701,,17184.16,4296.04,20,February,2,2014-02
1943,SO - 0009708,14-02-2014,Ozu Ltd,Wholesale,Product 19,7,3477.3,24341.1,1390.92,GA,Fulton County,Georgia,South,33.92427,-84.37854,,9736.44,14604.66,60,February,2,2014-02
1944,SO - 0008736,14-02-2014,Tekfly Group,Distributor,Product 15,6,268,1608,174.2,FL,Miami-Dade County,Florida,South,25.67149,-80.4445,,1045.2,562.8,35,February,2,2014-02
1945,SO - 0001533,14-02-2014,Mycone Ltd,Wholesale,Product 17,8,6298,50384,4534.56,FL,Broward County,Florida,South,26.23786,-80.12477,,36276.48,14107.52,28,February,2,2014-02
1946,SO - 0003656,14-02-2014,Revitol Company,Wholesale,Product 2,12,1058.6,12703.2,423.44,NY,Nassau County,New York,Northeast,40.80049,-73.51056,,5081.28,7621.92,60,February,2,2014-02
1947,SO - 0004138,14-02-2014,Janyx Group,Distributor,Product 26,9,1889.4,17004.6,1095.852,NY,New York County,New York,Northeast,40.72833,-73.99417,,9862.668,7141.932,42,February,2,2014-02
1948,SO - 0005121,14-02-2014,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.6,4090.752,MN,Hennepin County,Minnesota,Midwest,44.88969,-93.34995,,24544.512,9545.088,28,February,2,2014-02
1949,SO - 0006901,14-02-2014,Neutrogena Ltd,Distributor,Product 25,8,3242.8,25942.4,1426.832,IL,Champaign County,Illinois,Midwest,40.11642,-88.24338,,11414.656,14527.744,56,February,2,2014-02
1950,SO - 0006934,14-02-2014,Johnson Ltd,Distributor,Product 17,9,3839.1,34551.9,2418.633,CA,Los Angeles County,California,West,34.13612,-117.86534,,21767.697,12784.203,37,February,2,2014-02
1951,SO - 0007122,14-02-2014,Jaxbean Group,Wholesale,Product 26,11,1011.7,11128.7,849.828,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,,9348.108,1780.592,16,February,2,2014-02
1952,SO - 0007384,14-02-2014,Yombu Corp,Wholesale,Product 21,6,837.5,5025,619.75,CA,Orange County,California,West,33.74585,-117.82617,,3718.5,1306.5,26,February,2,2014-02
1953,SO - 0009820,14-02-2014,Skinder Group,Distributor,Product 5,11,1822.4,20046.4,1221.008,NJ,Passaic County,New Jersey,Northeast,40.85843,-74.16376,,13431.088,6615.312,33,February,2,2014-02
1954,SO - 0009131,14-02-2014,WOCKHARDT Group,Export,Product 3,7,1715.2,12006.4,1200.64,IL,Macon County,Illinois,Midwest,39.8463,-88.95822,,8404.48,3601.92,30,February,2,2014-02
1955,SO - 0002055,15-02-2014,Realbridge Corp,Wholesale,Product 11,5,1185.9,5929.5,960.579,CA,San Joaquin County,California,West,37.73965,-121.42522,,4802.895,1126.605,19,February,2,2014-02
1956,SO - 0004232,15-02-2014,Cogilith Group,Distributor,Product 25,7,1078.7,7550.9,647.22,MI,Oakland County,Michigan,Midwest,42.56923,-83.38727,,4530.54,3020.36,40,February,2,2014-02
1957,SO - 0004355,15-02-2014,Skippad Ltd,Distributor,Product 25,12,670,8040,408.7,UT,Salt Lake County,Utah,West,40.60967,-111.9391,,4904.4,3135.6,39,February,2,2014-02
1958,SO - 0006403,15-02-2014,Zooveo Company,Distributor,Product 26,5,1333.3,6666.5,986.642,IN,Madison County,Indiana,Midwest,40.10532,-85.68025,,4933.21,1733.29,26,February,2,2014-02
1959,SO - 0006538,15-02-2014,Organon Corp,Wholesale,Product 18,8,1098.8,8790.4,450.508,NY,Westchester County,New York,Northeast,40.91149,-73.78235,,3604.064,5186.336,59,February,2,2014-02
1960,SO - 0007042,15-02-2014,Feednation Corp,Distributor,Product 19,12,1996.6,23959.2,1677.144,VA,Virginia Beach city,Virginia,South,36.85293,-75.97799,,20125.728,3833.472,16,February,2,2014-02
1961,SO - 0007067,15-02-2014,Topco Company,Wholesale,Product 19,11,2592.9,28521.9,1192.734,CA,Merced County,California,West,37.30216,-120.48297,,13120.074,15401.826,54,February,2,2014-02
1962,SO - 0007654,15-02-2014,NCS Group,Distributor,Product 27,11,2606.3,28669.3,1668.032,IN,Johnson County,Indiana,Midwest,39.61366,-86.10665,,18348.352,10320.948,36,February,2,2014-02
1963,SO - 0007986,15-02-2014,Ozu Ltd,Distributor,Product 16,7,1132.3,7926.1,532.181,CO,Douglas County,Colorado,West,39.55388,-104.96943,,3725.267,4200.833,53,February,2,2014-02
1964,SO - 0010478,15-02-2014,Oozz Group,Wholesale,Product 22,12,1038.5,12462,508.865,CA,Sacramento County,California,West,38.58157,-121.4944,,6106.38,6355.62,51,February,2,2014-02
1965,SO - 0001310,15-02-2014,Zoonder Group,Wholesale,Product 26,7,737,5159,626.45,OH,Summit County,Ohio,Midwest,41.08144,-81.51901,,4385.15,773.85,15,February,2,2014-02
1966,SO - 0001460,15-02-2014,BTA Corp,Wholesale,Product 2,11,2525.9,27784.9,1843.907,TX,Hidalgo County,Texas,South,26.1948,-98.18362,,20282.977,7501.923,27,February,2,2014-02
1967,SO - 0001946,15-02-2014,Voolith Ltd,Distributor,Product 13,7,797.3,5581.1,518.245,CA,Alameda County,California,West,37.66882,-122.0808,,3627.715,1953.385,35,February,2,2014-02
1968,SO - 0002213,15-02-2014,Omba Group,Wholesale,Product 27,5,1701.8,8509,1242.314,IL,McLean County,Illinois,Midwest,40.53839,-88.98528,,6211.57,2297.43,27,February,2,2014-02
1969,SO - 0007620,15-02-2014,Pacific Ltd,Distributor,Product 6,9,1963.1,17667.9,1629.373,NC,Buncombe County,North Carolina,South,35.60095,-82.55402,,14664.357,3003.543,17,February,2,2014-02
1970,SO - 0010764,15-02-2014,Zoonder Group,Distributor,Product 1,11,227.8,2505.8,100.232,IN,Marion County,Indiana,Midwest,39.77186,-86.26094,,1102.552,1403.248,56,February,2,2014-02
1971,SO - 0001886,15-02-2014,H Ltd,Distributor,Product 24,7,1005,7035,653.25,PA,Bucks County,Pennsylvania,Northeast,40.10622,-74.94364,,4572.75,2462.25,35,February,2,2014-02
1972,SO - 0002298,15-02-2014,Cantrell Company,Wholesale,Product 11,7,3075.3,21527.1,2583.252,TX,Johnson County/Tarrant County/Ellis County,Texas,South,32.56919,-97.12053,,18082.764,3444.336,16,February,2,2014-02
1973,SO - 0006168,15-02-2014,Mylan Corp,Wholesale,Product 7,6,3946.3,23677.8,2525.632,MN,Ramsey County,Minnesota,Midwest,44.94441,-93.09327,,15153.792,8524.008,36,February,2,2014-02
1974,SO - 0006699,15-02-2014,Skiptube Ltd,Distributor,Product 1,8,1869.3,14954.4,1383.282,NY,Monroe County,New York,Northeast,43.25035,-77.70052,,11066.256,3888.144,26,February,2,2014-02
1975,SO - 000168,15-02-2014,Livepath Corp,Wholesale,Product 13,11,241.2,2653.2,132.66,TX,Fort Bend County/Harris County,Texas,South,29.56294,-95.536,,1459.26,1193.94,45,February,2,2014-02
1976,SO - 0001827,15-02-2014,Cantrell Company,Distributor,Product 2,7,2358.4,16508.8,1320.704,MN,Hennepin County,Minnesota,Midwest,44.8408,-93.29828,,9244.928,7263.872,44,February,2,2014-02
1977,SO - 0001840,15-02-2014,Gigabox Group,Wholesale,Product 13,12,884.4,10612.8,636.768,SC,Lexington County/Richland County,South Carolina,South,34.0291,-80.89804,,7641.216,2971.584,28,February,2,2014-02
1978,SO - 0003414,15-02-2014,Thoughtmix Ltd,Wholesale,Product 25,11,3423.7,37660.7,1540.665,CT,Fairfield County,Connecticut,Northeast,41.09274,-73.4198,,16947.315,20713.385,55,February,2,2014-02
1979,SO - 0004180,15-02-2014,Jayo Company,Wholesale,Product 3,8,1038.5,8308,623.1,CA,Los Angeles County,California,West,33.90224,-118.08173,,4984.8,3323.2,40,February,2,2014-02
1980,SO - 0004801,15-02-2014,Twitterbri Ltd,Wholesale,Product 5,5,241.2,1206,106.128,NY,Broome County,New York,Northeast,42.12662,-76.03324,,530.64,675.36,56,February,2,2014-02
1981,SO - 0006109,15-02-2014,Blogspan Ltd,Wholesale,Product 5,6,2445.5,14673,978.2,CA,Butte County,California,West,39.72849,-121.83748,,5869.2,8803.8,60,February,2,2014-02
1982,SO - 0010208,15-02-2014,Fred's Company,Wholesale,Product 1,10,247.9,2479,205.757,OR,Marion County/Polk County,Oregon,West,44.92371,-123.02319,,2057.57,421.43,17,February,2,2014-02
1983,SO - 0009036,15-02-2014,Alembic Ltd,Export,Product 4,8,1005,8040,804,CA,Orange County,California,West,33.60002,-117.672,,6432,1608,20,February,2,2014-02
1984,SO - 0002066,15-02-2014,Topco Company,Distributor,Product 15,11,187.6,2063.6,133.196,CA,San Diego County,California,West,32.76778,-117.02306,,1465.156,598.444,29,February,2,2014-02
1985,SO - 0002921,15-02-2014,Bluezoom Group,Wholesale,Product 26,10,5875.9,58759,4289.407,FL,Leon County,Florida,South,30.43826,-84.28073,,42894.07,15864.93,27,February,2,2014-02
1986,SO - 0005183,15-02-2014,Army Group,Export,Product 6,9,3484,31356,2891.72,DE,New Castle County,Delaware,South,39.74595,-75.54659,,26025.48,5330.52,17,February,2,2014-02
1987,SO - 0006221,15-02-2014,Eidel Corp,Wholesale,Product 19,12,2398.6,28783.2,1127.342,CA,Sacramento County,California,West,38.61713,-121.32828,,13528.104,15255.096,53,February,2,2014-02
1988,SO - 0009998,15-02-2014,Unit Ltd,Wholesale,Product 26,6,3999.9,23999.4,2519.937,NC,New Hanover County,North Carolina,South,34.22573,-77.94471,,15119.622,8879.778,37,February,2,2014-02
1989,SO - 0001640,15-02-2014,Skidoo Company,Wholesale,Product 2,9,2613,23517,2168.79,UT,Utah County,Utah,West,40.23384,-111.65853,,19519.11,3997.89,17,February,2,2014-02
1990,SO - 0002297,15-02-2014,Arbor Company,Wholesale,Product 27,5,1788.9,8944.5,1377.453,WI,Racine County,Wisconsin,Midwest,42.72613,-87.78285,,6887.265,2057.235,23,February,2,2014-02
1991,SO - 0002782,15-02-2014,Livepath Corp,Wholesale,Product 17,10,5688.3,56883,4209.342,NJ,Middlesex County,New Jersey,Northeast,40.50399,-74.34941,,42093.42,14789.58,26,February,2,2014-02
1992,SO - 0003022,15-02-2014,Gigabox Group,Export,Product 17,11,2680,29480,1956.4,NJ,Middlesex County,New Jersey,Northeast,40.50399,-74.34941,,21520.4,7959.6,27,February,2,2014-02
1993,SO - 0003236,15-02-2014,Buzzshare Company,Wholesale,Product 27,9,194.3,1748.7,120.466,IL,Cook County,Illinois,Midwest,42.08836,-87.98063,,1084.194,664.506,38,February,2,2014-02
1994,SO - 0005089,15-02-2014,Jayo Company,Wholesale,Product 5,5,3912.8,19564,1956.4,GA,Fulton County,Georgia,South,34.02893,-84.19858,,9782,9782,50,February,2,2014-02
1995,SO - 0005119,15-02-2014,Talane Group,Wholesale,Product 16,10,1105.5,11055,696.465,MT,Cascade County,Montana,West,47.50024,-111.30081,,6964.65,4090.35,37,February,2,2014-02
1996,SO - 0005519,15-02-2014,Mylan Corp,Export,Product 13,5,1078.7,5393.5,841.386,TN,Williamson County,Tennessee,South,35.92506,-86.86889,,4206.93,1186.57,22,February,2,2014-02
1997,SO - 0005524,15-02-2014,Linkbuzz Ltd,Export,Product 27,7,3993.2,27952.4,1637.212,WA,Pierce County,Washington,West,47.17176,-122.51846,,11460.484,16491.916,59,February,2,2014-02
1998,SO - 0006521,15-02-2014,Divanoodle Ltd,Wholesale,Product 15,11,1072,11792,536,MS,Rankin County/Hinds County/Madison County,Mississippi,South,32.31583,-90.21282,,5896,5896,50,February,2,2014-02
1999,SO - 0007794,15-02-2014,Shuffledri Group,Wholesale,Product 14,9,1165.8,10492.2,582.9,VA,Prince William County,Virginia,South,38.63706,-77.31109,,5246.1,5246.1,50,February,2,2014-02
2000,SO - 0007800,15-02-2014,EMD Group,Distributor,Product 4,5,891.1,4455.5,454.461,NV,Washoe County,Nevada,West,39.52963,-119.8138,,2272.305,2183.195,49,February,2,2014-02
2001,SO - 0007963,15-02-2014,Bluezoom Group,Wholesale,Product 19,9,214.4,1929.6,105.056,FL,Miami-Dade County,Florida,South,25.72149,-80.26838,,945.504,984.096,51,February,2,2014-02
2002,SO - 0010049,15-02-2014,Accudial Company,Distributor,Product 14,5,201,1005,158.79,CA,Los Angeles County,California,West,33.96816,-118.24467,,793.95,211.05,21,February,2,2014-02
2003,SO - 000754,16-02-2014,Cogidoo Company,Wholesale,Product 10,7,1078.7,7550.9,442.267,NJ,Ocean County,New Jersey,Northeast,39.99426,-74.16615,,3095.869,4455.031,59,February,2,2014-02
2004,SO - 0002307,16-02-2014,Browsebug Company,Export,Product 19,11,167.5,1842.5,78.725,IN,Madison County,Indiana,Midwest,40.08977,-85.68945,,865.975,976.525,53,February,2,2014-02
2005,SO - 0004548,16-02-2014,Kazu Corp,Export,Product 20,6,6277.9,37667.4,4143.414,CA,Los Angeles County,California,West,33.96085,-118.04173,,24860.484,12806.916,34,February,2,2014-02
2006,SO - 0004604,16-02-2014,Linklinks Ltd,Wholesale,Product 18,5,1078.7,5393.5,776.664,CA,Orange County,California,West,33.42697,-117.61199,,3883.32,1510.18,28,February,2,2014-02
2007,SO - 0010146,16-02-2014,Wise Company,Distributor,Product 12,7,2324.9,16274.3,1069.454,CO,Adams County,Colorado,West,39.80832,-104.93387,,7486.178,8788.122,54,February,2,2014-02
2008,SO - 0010037,16-02-2014,Chatterbri Ltd,Wholesale,Product 18,5,917.9,4589.5,743.499,OH,Stark County,Ohio,Midwest,40.79895,-81.37845,,3717.495,872.005,19,February,2,2014-02
2009,SO - 0009977,16-02-2014,Skiptube Ltd,Wholesale,Product 27,10,3932.9,39329,2084.437,TX,Wichita County,Texas,South,33.91371,-98.49339,,20844.37,18484.63,47,February,2,2014-02
2010,SO - 0009667,16-02-2014,Organon Corp,Distributor,Product 5,11,6378.4,70162.4,4783.8,FL,Broward County,Florida,South,26.06287,-80.2331,,52621.8,17540.6,25,February,2,2014-02
2011,SO - 0001889,16-02-2014,The Ltd,Distributor,Product 15,8,1098.8,8790.4,747.184,CA,Orange County,California,West,33.75918,-118.00673,,5977.472,2812.928,32,February,2,2014-02
2012,SO - 0006046,16-02-2014,SHISEIDO Ltd,Wholesale,Product 15,5,1835.8,9179,1542.072,CA,San Diego County,California,West,33.11921,-117.08642,,7710.36,1468.64,16,February,2,2014-02
2013,SO - 0006933,16-02-2014,Skyvu Group,Export,Product 10,11,2458.9,27047.9,1524.518,IN,Vanderburgh County,Indiana,Midwest,37.97476,-87.55585,,16769.698,10278.202,38,February,2,2014-02
2014,SO - 0007588,16-02-2014,Dazzlesphe Corp,Distributor,Product 13,6,991.6,5949.6,743.7,IN,Hamilton County,Indiana,Midwest,39.96392,-85.92802,,4462.2,1487.4,25,February,2,2014-02
2015,SO - 0009601,16-02-2014,Cantrell Company,Export,Product 13,11,261.3,2874.3,198.588,FL,Broward County,Florida,South,26.24453,-80.20644,,2184.468,689.832,24,February,2,2014-02
2016,SO - 0001508,16-02-2014,GOOD Ltd,Wholesale,Product 25,8,3959.7,31677.6,2652.999,AR,Washington County/Benton County,Arkansas,South,36.19007,-94.15943,,21223.992,10453.608,33,February,2,2014-02
2017,SO - 0001744,16-02-2014,Trunyx Ltd,Wholesale,Product 26,9,2988.2,26893.8,1583.746,CT,Hartford County,Connecticut,Northeast,41.76204,-72.74204,,14253.714,12640.086,47,February,2,2014-02
2018,SO - 0003338,16-02-2014,Kaymbo Company,Wholesale,Product 13,12,2881,34572,2074.32,MD,Charles County,Maryland,South,38.62456,-76.93914,,24891.84,9680.16,28,February,2,2014-02
2019,SO - 0003356,16-02-2014,Zoomzone Corp,Wholesale,Product 15,10,1011.7,10117,627.254,TN,Davidson County,Tennessee,South,36.16913,-86.78479,,6272.54,3844.46,38,February,2,2014-02
2020,SO - 0003442,16-02-2014,Revitol Company,Wholesale,Product 26,10,6378.4,63784,3061.632,CA,Orange County,California,West,33.64697,-117.68922,,30616.32,33167.68,52,February,2,2014-02
2021,SO - 0003991,16-02-2014,Remedy Ltd,Distributor,Product 15,8,1072,8576,482.4,AZ,Maricopa County,Arizona,West,33.4356,-112.3496,,3859.2,4716.8,55,February,2,2014-02
2022,SO - 0004385,16-02-2014,Wordware Company,Wholesale,Product 25,12,2633.1,31597.2,1263.888,IN,Marion County,Indiana,Midwest,39.8716,-86.01156,,15166.656,16430.544,52,February,2,2014-02
2023,SO - 0004529,16-02-2014,Valeant Corp,Distributor,Product 29,11,4006.6,44072.6,2844.686,TX,Tom Green County,Texas,South,31.46377,-100.43704,,31291.546,12781.054,29,February,2,2014-02
2024,SO - 0004556,16-02-2014,WOCKHARDT Group,Distributor,Product 17,10,1876,18760,1013.04,NY,Nassau County,New York,Northeast,40.80336,-73.6784,,10130.4,8629.6,46,February,2,2014-02
2025,SO - 0004905,16-02-2014,Vimbo Company,Export,Product 22,9,2626.4,23637.6,1549.576,TX,Brazos County,Texas,South,30.67436,-96.36996,,13946.184,9691.416,41,February,2,2014-02
2026,SO - 0005401,16-02-2014,Zoomzone Corp,Wholesale,Product 1,7,904.5,6331.5,633.15,PA,Erie County,Pennsylvania,Northeast,42.12922,-80.08506,,4432.05,1899.45,30,February,2,2014-02
2027,SO - 0005489,16-02-2014,BTA Corp,Export,Product 21,8,5092,40736,2189.56,KY,Fayette County,Kentucky,South,38.0498,-84.45855,,17516.48,23219.52,57,February,2,2014-02
2028,SO - 0006714,16-02-2014,State Ltd,Distributor,Product 25,11,830.8,9138.8,548.328,IL,Cook County,Illinois,Midwest,41.85059,-87.79367,,6031.608,3107.192,34,February,2,2014-02
2029,SO - 0006807,16-02-2014,Topiczoom Corp,Wholesale,Product 5,5,1721.9,8609.5,1343.082,PA,Montgomery County,Pennsylvania,Northeast,40.11242,-75.11564,,6715.41,1894.09,22,February,2,2014-02
2030,SO - 0007521,16-02-2014,Aimbo Corp,Distributor,Product 3,7,2351.7,16461.9,1787.292,NC,Mecklenburg County,North Carolina,South,35.22709,-80.84313,,12511.044,3950.856,24,February,2,2014-02
2031,SO - 0007730,16-02-2014,Blogtags Ltd,Wholesale,Product 25,5,5601.2,28006,4312.924,CO,Douglas County,Colorado,West,39.37221,-104.85609,,21564.62,6441.38,23,February,2,2014-02
2032,SO - 0008411,16-02-2014,Bluezoom Group,Distributor,Product 11,9,6257.8,56320.2,3066.322,WA,Benton County,Washington,West,46.21125,-119.13723,,27596.898,28723.302,51,February,2,2014-02
2033,SO - 0008285,16-02-2014,Ozu Ltd,Distributor,Product 15,6,857.6,5145.6,531.712,FL,St. Lucie County,Florida,South,27.29393,-80.35033,,3190.272,1955.328,38,February,2,2014-02
2034,SO - 0008369,16-02-2014,Feednation Corp,Wholesale,Product 13,7,2412,16884,1712.52,NC,Gaston County,North Carolina,South,35.26208,-81.1873,,11987.64,4896.36,29,February,2,2014-02
2035,SO - 0001112,16-02-2014,US Ltd,Distributor,Product 11,6,6505.7,39034.2,5399.731,OR,Clackamas County/Multnomah County/Washington County,Oregon,West,45.53695,-122.64997,,32398.386,6635.814,17,February,2,2014-02
2036,SO - 0006602,16-02-2014,CLINIQUE Ltd,Wholesale,Product 4,8,1855.9,14847.2,1410.484,MO,Cass County/Platte County/Jackson County/Clay County,Missouri,Midwest,39.12513,-94.55103,,11283.872,3563.328,24,February,2,2014-02
2037,SO - 0009640,16-02-2014,Pixoboo Corp,Wholesale,Product 5,12,6157.3,73887.6,4433.256,CO,Jefferson County/Adams County,Colorado,West,39.88219,-105.06443,,53199.072,20688.528,28,February,2,2014-02
2038,SO - 000470,16-02-2014,Flipbug Ltd,Wholesale,Product 19,11,2613,28743,1332.63,IL,Cook County,Illinois,Midwest,42.04639,-87.69435,,14658.93,14084.07,49,February,2,2014-02
2039,SO - 000827,16-02-2014,Cogidoo Company,Export,Product 16,5,1802.3,9011.5,720.92,IA,Dubuque County,Iowa,Midwest,42.50056,-90.66457,,3604.6,5406.9,60,February,2,2014-02
2040,SO - 0001538,16-02-2014,Livepath Corp,Export,Product 14,6,3993.2,23959.2,3354.288,NY,Erie County,New York,Northeast,42.88645,-78.87837,,20125.728,3833.472,16,February,2,2014-02
2041,SO - 0002835,16-02-2014,Topiczoom Corp,Distributor,Product 1,7,897.8,6284.6,430.944,TX,Montgomery County,Texas,South,30.31188,-95.45605,,3016.608,3267.992,52,February,2,2014-02
2042,SO - 0003041,16-02-2014,Oba Company,Wholesale,Product 26,11,3383.5,37218.5,2131.605,WI,Rock County,Wisconsin,Midwest,42.68279,-89.01872,,23447.655,13770.845,37,February,2,2014-02
2043,SO - 0004371,16-02-2014,Actavis Company,Distributor,Product 14,10,234.5,2345,126.63,KS,Johnson County,Kansas,Midwest,39.04167,-94.72024,,1266.3,1078.7,46,February,2,2014-02
2044,SO - 0005301,16-02-2014,Voonyx Group,Export,Product 2,7,254.6,1782.2,175.674,VA,Virginia Beach city,Virginia,South,36.85293,-75.97799,,1229.718,552.482,31,February,2,2014-02
2045,SO - 0007014,16-02-2014,Alembic Ltd,Export,Product 25,6,1005,6030,502.5,IL,Cook County,Illinois,Midwest,42.03336,-87.73339,,3015,3015,50,February,2,2014-02
2046,SO - 0008606,16-02-2014,sanofi-ave Group,Wholesale,Product 4,6,5319.8,31918.8,4521.83,NY,Suffolk County,New York,Northeast,40.88409,-73.37676,,27130.98,4787.82,15,February,2,2014-02
2047,SO - 0009258,16-02-2014,Linklinks Ltd,Wholesale,Product 2,12,1098.8,13185.6,868.052,VA,Hampton city,Virginia,South,37.02987,-76.34522,,10416.624,2768.976,21,February,2,2014-02
2048,SO - 0003115,16-02-2014,True Ltd,Export,Product 26,12,1996.6,23959.2,1397.62,OR,Jackson County,Oregon,West,42.32652,-122.87559,,16771.44,7187.76,30,February,2,2014-02
2049,SO - 0004202,16-02-2014,Podcat Corp,Wholesale,Product 25,5,2659.9,13299.5,1196.955,NY,Nassau County,New York,Northeast,40.80336,-73.6784,,5984.775,7314.725,55,February,2,2014-02
